Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R11	04742371000108	04742371000108	04742371000108	2021	05	0	1201	5267,64	263,31	0	9196,98
R11	04742371000108	04742371000108	04742371000108	2021	05	0	2101	671393,42	35641,53	0	0
R11	04742371000108	04742371000108	04742371000108	2021	05	0	2201	647,75	32,41	0	6614,55
R11	04742371000108	04742371000108	04742371000108	2021	05	0	2556	4683,72	253,79	0	0
R11	04742371000108	04742371000108	04742371000108	2021	05	0	2911	26,11	1,31	0	0
R11	04742371000108	04742371000108	04742371000108	2021	06	0	1201	2857,85	142,91	0	4338,36
R11	04742371000108	04742371000108	04742371000108	2021	06	0	1556	18503,61	4,2	0	0
R11	04742371000108	04742371000108	04742371000108	2021	06	0	2101	1577882,64	69961,51	0	0
R11	04742371000108	04742371000108	04742371000108	2021	06	0	2201	797,34	39,87	0	1264,31
R11	04742371000108	04742371000108	04742371000108	2021	06	0	2556	5092,11	304,36	16,96	0
R11	04742371000108	04742371000108	04742371000108	2021	06	0	2911	24,1	1,21	0	0
R11	04742371000108	04742371000108	04742371000108	2021	07	0	1201	2963,06	148,24	0	4450,51
R11	04742371000108	04742371000108	04742371000108	2021	07	0	2101	517236,75	39720,01	0	0
R11	04742371000108	04742371000108	04742371000108	2021	07	0	2201	872,2	43,61	0	111,17
R11	04742371000108	04742371000108	04742371000108	2021	07	0	2556	2730,04	156,21	0	0
R11	04742371000108	04742371000108	04742371000108	2021	08	0	1201	2487,26	124,48	0	6504,03
R11	04742371000108	04742371000108	04742371000108	2021	08	0	2101	2164856,83	112609,98	0	0
R11	04742371000108	04742371000108	04742371000108	2021	08	0	2201	1162,71	58,14	0	1927,39
R11	04742371000108	04742371000108	04742371000108	2021	08	0	2556	15537,15	1044,85	0	0
R11	04742371000108	04742371000108	04742371000108	2021	08	0	2910	2611,79	130,77	0	0
R11	04742371000108	04742371000108	04742371000108	2021	08	0	2949	2843,48	426,53	0	0
R11	04742371000108	04742371000108	04742371000108	2021	09	0	1201	3095,21	154,86	0	10666,54
R11	04742371000108	04742371000108	04742371000108	2021	09	0	2101	1827840,48	129509,01	0	0
R11	04742371000108	04742371000108	04742371000108	2021	09	0	2556	7082,05	472,55	0	0
R11	04742371000108	04742371000108	04742371000108	2021	09	0	2910	341,75	17,09	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	1101	94485,12	14172,76	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	1102	2319,36	347,9	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	1201	5453,99	272,75	0	5570,3
R11	04742371000108	04742371000108	04742371000108	2021	10	0	1556	2430,51	364,59	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	2101	1054347,92	93008,32	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	2201	496,08	35	0	143,83
R11	04742371000108	04742371000108	04742371000108	2021	10	0	2551	98500,76	4381,49	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	2556	6085,97	534,08	0	0
R11	04742371000108	04742371000108	04742371000108	2021	10	0	3551	19487,76	1559,02	0	0
R11	04742371000108	04742371000108	04742371000108	2021	11	0	1201	5272,69	263,63	0	4358,01
R11	04742371000108	04742371000108	04742371000108	2021	11	0	2101	2749900,61	165038,32	0	0
R11	04742371000108	04742371000108	04742371000108	2021	11	0	2201	593,87	29,69	0	801,54
R11	04742371000108	04742371000108	04742371000108	2021	11	0	2556	8910,05	784,93	0	10944,58
R11	04742371000108	04742371000108	04742371000108	2021	11	0	2910	1800	90	0	0
R11	04742371000108	04742371000108	04742371000108	2021	12	0	1101	50423,04	7563,46	0	0
R11	04742371000108	04742371000108	04742371000108	2021	12	0	1201	8267,18	413,38	0	8903,71
R11	04742371000108	04742371000108	04742371000108	2021	12	0	2101	1612452,41	94863,86	0	0
R11	04742371000108	04742371000108	04742371000108	2021	12	0	2201	250,48	12,52	0	1355,64
R11	04742371000108	04742371000108	04742371000108	2021	12	0	2556	14488,41	835,44	0	0
R11	04742371000108	04742371000108	04742371000108	2021	12	0	2910	835	41,75	0	0
R11	04742371000108	04742371000108	04742371000108	2021	12	0	2912	600	30	0	0
R11	04742371000108	04742371000108	04742371000108	2022	01	0	1101	153208,32	22981,25	0	0
R11	04742371000108	04742371000108	04742371000108	2022	01	0	1201	2456,92	122,81	0	3763,55
R11	04742371000108	04742371000108	04742371000108	2022	01	0	2101	2140446,26	132007,08	0	0
R11	04742371000108	04742371000108	04742371000108	2022	01	0	2201	1600,8	80,04	0	27835,9
R11	04742371000108	04742371000108	04742371000108	2022	01	0	2556	28457,51	1355,69	0	3389,18
R11	04742371000108	04742371000108	04742371000108	2022	02	0	1101	104448	15667,2	0	0
R11	04742371000108	04742371000108	04742371000108	2022	02	0	1201	4533,01	226,66	0	7370,87
R11	04742371000108	04742371000108	04742371000108	2022	02	0	2101	1132153,45	77730,95	0	0
R11	04742371000108	04742371000108	04742371000108	2022	02	0	2201	16523,33	826,16	0	0
R11	04742371000108	04742371000108	04742371000108	2022	02	0	2556	27641,38	2131,89	0	0
R11	04742371000108	04742371000108	04742371000108	2022	02	0	2910	4561	586,5	0	0
R11	04742371000108	04742371000108	04742371000108	2022	02	0	2911	205,5	30,83	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	1101	42144	4741,2	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	1201	2924,82	146,24	0	13180,89
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2101	2107663,5	83838,46	0	0
