Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R12	04742371000108		04742371000108	2021	05	0	5101	906400,2	45320,31	0	1681480,9
R12	04742371000108		04742371000108	2021	05	0	5910	1282,54	64,14	0	2515,04
R12	04742371000108		04742371000108	2021	05	0	6101	190426,21	9521,44	0	221299,75
R12	04742371000108		04742371000108	2021	05	0	6151	256949,3	12847,31	0	386883,35
R12	04742371000108		04742371000108	2021	05	0	6910	1127,68	56,38	0	1077,34
R12	04742371000108		04742371000108	2021	06	0	5101	897828,78	44892,48	0	1480306,45
R12	04742371000108		04742371000108	2021	06	0	5910	1251,39	62,6	0	3530,88
R12	04742371000108		04742371000108	2021	06	0	6101	138879,36	6944,06	0	339927,29
R12	04742371000108		04742371000108	2021	06	0	6151	337903,77	16895,18	0	435751,75
R12	04742371000108		04742371000108	2021	06	0	6910	1345,05	67,25	0	848,77
R12	04742371000108		04742371000108	2021	07	0	5101	917288,3	45868,07	0	1793252,12
R12	04742371000108		04742371000108	2021	07	0	5910	1452,25	72,61	0	4741,5
R12	04742371000108		04742371000108	2021	07	0	6101	86670,99	4333,72	0	164831,36
R12	04742371000108		04742371000108	2021	07	0	6151	390949,07	19547,87	0	647174,06
R12	04742371000108		04742371000108	2021	07	0	6910	773,1	38,68	0	634,16
R12	04742371000108		04742371000108	2021	08	0	5101	889357,69	44471,07	0	1744353,82
R12	04742371000108		04742371000108	2021	08	0	5910	1092,36	54,64	0	3909,07
R12	04742371000108		04742371000108	2021	08	0	6101	248507,14	12425,6	0	239782,92
R12	04742371000108		04742371000108	2021	08	0	6151	342735,07	17136,93	0	474454,27
R12	04742371000108		04742371000108	2021	08	0	6910	2641,94	132,13	0	2022,16
R12	04742371000108		04742371000108	2021	09	0	5101	895325,63	44768,05	0	1761424,28
R12	04742371000108		04742371000108	2021	09	0	5910	2968,88	148,44	0	5531,57
R12	04742371000108		04742371000108	2021	09	0	6101	195838,23	9792,04	0	215706,3
R12	04742371000108		04742371000108	2021	09	0	6151	366171,04	18308,74	0	551209,97
R12	04742371000108		04742371000108	2021	09	0	6910	1650,17	82,51	0	1044,12
R12	04742371000108		04742371000108	2021	10	0	5101	947058,97	47353,59	0	1937069,75
R12	04742371000108		04742371000108	2021	10	0	5910	2297,51	114,9	0	4789,84
R12	04742371000108		04742371000108	2021	10	0	6101	224970,35	11248,44	0	311358,98
R12	04742371000108		04742371000108	2021	10	0	6151	278540,82	13927,11	0	419220,35
R12	04742371000108		04742371000108	2021	10	0	6201	0	148,43	0	1632,71
R12	04742371000108		04742371000108	2021	10	0	6910	3883,8	194,16	0	2681,89
R12	04742371000108		04742371000108	2021	11	0	5101	816942,5	40849,14	0	1549813,37
R12	04742371000108		04742371000108	2021	11	0	5910	1505,61	75,32	0	4570,7
R12	04742371000108		04742371000108	2021	11	0	6101	139270,66	6963,81	0	241570,74
R12	04742371000108		04742371000108	2021	11	0	6151	406273,52	20313,83	0	589596,59
R12	04742371000108		04742371000108	2021	11	0	6910	1161,64	58,07	0	1393,19
R12	04742371000108		04742371000108	2021	12	0	5101	995012,43	49751,65	0	2079800,11
R12	04742371000108		04742371000108	2021	12	0	5910	3354,15	167,78	0	4965,97
R12	04742371000108		04742371000108	2021	12	0	6101	182041,03	9101,65	0	1131777,93
R12	04742371000108		04742371000108	2021	12	0	6151	301898,46	15095,04	0	418455,72
R12	04742371000108		04742371000108	2021	12	0	6910	927,44	46,35	0	1337,64
R12	04742371000108		04742371000108	2022	01	0	5101	943414,54	47171,71	0	1647423,56
R12	04742371000108		04742371000108	2022	01	0	5910	2202,74	110,11	0	4153,44
R12	04742371000108		04742371000108	2022	01	0	6101	218843,36	10942,02	0	267764,68
R12	04742371000108		04742371000108	2022	01	0	6151	321626,23	16081,29	0	383561,33
R12	04742371000108		04742371000108	2022	01	0	6910	1796,03	89,81	0	245,41
R12	04742371000108		04742371000108	2022	02	0	5101	891526,12	44578,51	0	1666460,74
R12	04742371000108		04742371000108	2022	02	0	5910	2342,05	117,11	0	8430,05
R12	04742371000108		04742371000108	2022	02	0	6101	287773,06	14387,86	0	207326,42
R12	04742371000108		04742371000108	2022	02	0	6151	273551,92	13677,61	0	329850,48
R12	04742371000108		04742371000108	2022	02	0	6556	11736,53	586,83	0	0
R12	04742371000108		04742371000108	2022	02	0	6910	2205,14	110,24	0	838,39
R12	04742371000108		04742371000108	2022	03	0	5101	1143392,42	55396	0	2186645,54
R12	04742371000108		04742371000108	2022	03	0	5910	1882	91,28	0	3963,25
R12	04742371000108		04742371000108	2022	03	0	6101	245615,54	12128,68	0	249788,56
R12	04742371000108		04742371000108	2022	03	0	6151	351856,81	15153,52	0	531032,92
R12	04742371000108		04742371000108	2022	03	0	6556	11736,53	586,83	0	0
R12	04742371000108		04742371000108	2022	03	0	6910	1740,46	70,97	0	1358,44
R12	04742371000108		04742371000108	2022	04	0	5101	1163929,14	44863,91	0	1582529,81
R12	04742371000108		04742371000108	2022	04	0	5910	2210,32	82,88	0	3417,44
R12	04742371000108		04742371000108	2022	04	0	6101	121553,96	4657,33	0	189077,03
R12	04742371000108		04742371000108	2022	04	0	6151	350773,38	13153,89	0	425419,73
R12	04742371000108		04742371000108	2022	04	0	6910	449,8	16,87	0	260,17
R12	04742371000108		04742371000108	2022	05	0	5101	1541512,42	58151,48	0	1825194,04
R12	04742371000108		04742371000108	2022	05	0	5201	11736,53	440,12	0	0
R12	04742371000108		04742371000108	2022	05	0	5910	1348,41	50,58	0	3740,6
R12	04742371000108		04742371000108	2022	05	0	6101	353276,84	13252,08	0	294014,76
R12	04742371000108		04742371000108	2022	05	0	6151	357615,79	13410,46	0	376196,06
R12	04742371000108		04742371000108	2022	05	0	6910	1095,69	41,1	0	889,84
R12	04742371000108		04742371000108	2022	06	0	5101	1449951,91	54375,97	0	1858867,12
R12	04742371000108		04742371000108	2022	06	0	5910	2926,47	109,74	0	2142,09
R12	04742371000108		04742371000108	2022	06	0	6101	237330,53	8899,83	0	272830,58
R12	04742371000108		04742371000108	2022	06	0	6151	346510,86	12994,2	0	446615,09
R12	04742371000108		04742371000108	2022	06	0	6910	722,83	27,1	0	445,6
R12	04742371000108		04742371000108	2022	07	0	5101	1358865,71	50958,68	0	1762844,27
R12	04742371000108		04742371000108	2022	07	0	5910	972,13	36,45	0	3081,13
R12	04742371000108		04742371000108	2022	07	0	6101	199582,16	7483,48	0	157230,52
R12	04742371000108		04742371000108	2022	07	0	6151	258024,2	9675,89	0	434139,13
R12	04742371000108		04742371000108	2022	07	0	6556	11736,53	381,44	0	0
R12	04742371000108		04742371000108	2022	07	0	6910	885,99	33,23	0	496,82
R12	04742371000108		04742371000108	2022	08	0	5101	1345473,84	50455,05	0	1892804,05
R12	04742371000108		04742371000108	2022	08	0	5910	2474,95	92,83	0	6484,81
R12	04742371000108		04742371000108	2022	08	0	6101	339165,04	12719,07	0	281459,11
R12	04742371000108		04742371000108	2022	08	0	6151	261831,81	9743,77	0	384777,47
R12	04742371000108		04742371000108	2022	08	0	6556	11736,53	381,44	0	0
R12	04742371000108		04742371000108	2022	08	0	6910	1539,63	57,72	0	799,8
R12	04742371000108		04742371000108	2022	09	0	5101	1185253,89	43459,39	0	1779450,08
R12	04742371000108		04742371000108	2022	09	0	5910	2099,91	76,9	0	2863,22
R12	04742371000108		04742371000108	2022	09	0	6101	341253,62	11781,37	0	258027,16
R12	04742371000108		04742371000108	2022	09	0	6151	298775,56	10792,01	0	505358,21
R12	04742371000108		04742371000108	2022	09	0	6910	1679,99	58,74	0	1541,62
R12	04742371000108		04742371000108	2022	10	0	5101	1112390,57	40313,26	0	1801580,25
R12	04742371000108		04742371000108	2022	10	0	5910	1744,7	64,07	0	4615,89
R12	04742371000108		04742371000108	2022	10	0	6101	122317,6	4447,84	0	139674,86
R12	04742371000108		04742371000108	2022	10	0	6151	268406,33	9638,56	0	447097,7
R12	04742371000108		04742371000108	2022	10	0	6556	11736,53	381,44	0	0
R12	04742371000108		04742371000108	2022	10	0	6910	1257,45	43,12	0	781,2
R12	04742371000108		04742371000108	2022	11	0	5101	1205842,98	43813,02	0	1773848,03
R12	04742371000108		04742371000108	2022	11	0	5910	3255,89	113,2	0	4281,1
R12	04742371000108		04742371000108	2022	11	0	6101	292743,68	10078,34	0	237535,76
R12	04742371000108		04742371000108	2022	11	0	6151	335564,77	12039,76	0	588819,26
R12	04742371000108		04742371000108	2022	11	0	6910	1150,14	40,15	0	3518,09
R12	04742371000108		04742371000108	2022	12	0	5101	1810983,05	65533,2	0	2601974,46
R12	04742371000108		04742371000108	2022	12	0	5910	2968	106,6	0	10478,95
R12	04742371000108		04742371000108	2022	12	0	6101	265667,93	9364,15	0	225039,97
R12	04742371000108		04742371000108	2022	12	0	6151	314791,35	11226,11	0	500328,24
R12	04742371000108		04742371000108	2022	12	0	6910	1510,35	50,18	0	1722,56
R12	04742371000108		04742371000108	2023	01	0	5101	1746397,1	63357,83	0	2232508,78
R12	04742371000108		04742371000108	2023	01	0	5910	3057,17	107,6	0	7584,96
R12	04742371000108		04742371000108	2023	01	0	6101	171954,91	6137,4	0	189178,31
R12	04742371000108		04742371000108	2023	01	0	6151	346280,16	12501,61	0	420248,42
R12	04742371000108		04742371000108	2023	01	0	6910	1015,35	34,69	0	953,24
R12	04742371000108		04742371000108	2023	02	0	5101	1390846,85	50517,49	0	1953465,72
R12	04742371000108		04742371000108	2023	02	0	5910	5300,97	186,03	0	7049,68
R12	04742371000108		04742371000108	2023	02	0	6101	115266,74	4143,56	0	136228,15
R12	04742371000108		04742371000108	2023	02	0	6151	387451,75	13959,89	0	654470,15
R12	04742371000108		04742371000108	2023	02	0	6910	1452,57	51,07	0	1604,02
R12	04742371000108		04742371000108	2023	03	0	5101	1391958,49	50721,46	0	1918067,12
R12	04742371000108		04742371000108	2023	03	0	5910	2656,59	94,57	0	3727,12
R12	04742371000108		04742371000108	2023	03	0	6101	214768,2	7657,85	0	246948,32
R12	04742371000108		04742371000108	2023	03	0	6151	336324,47	12131,16	0	522655,18
R12	04742371000108		04742371000108	2023	03	0	6910	562,77	19,93	0	3560,42
R12	04742371000108		04742371000108	2023	04	0	5101	1411236	51077,84	0	1961980
R12	04742371000108		04742371000108	2023	04	0	5910	16627,47	592,91	0	19800,73
R12	04742371000108		04742371000108	2023	04	0	6101	160397,93	5683,08	0	191253,6
R12	04742371000108		04742371000108	2023	04	0	6151	409242,67	14711,06	0	562924,95
R12	04742371000108		04742371000108	2023	04	0	6910	3322,26	110,54	0	737,85
R12	04742371000108		04742371000108	2023	05	0	5101	1840026,16	68020,68	0	2323459,59
R12	04742371000108		04742371000108	2023	05	0	5910	6641,8	242,93	0	7863,35
R12	04742371000108		04742371000108	2023	05	0	6101	296018,74	10423,08	0	298791,63
R12	04742371000108		04742371000108	2023	05	0	6151	474833,23	16966,6	0	544543,8
R12	04742371000108		04742371000108	2023	05	0	6910	2734,65	98,25	0	3775,33
R12	04742371000108		04742371000108	2023	06	0	5101	1771923,56	64465,2	0	2342008,21
